feature_0,feature_1,feature_2,feature_3,feature_4,target_gold,taget_noisy_0.0,taget_noisy_0.1,taget_noisy_0.2,taget_noisy_0.3,taget_noisy_0.4,taget_noisy_0.5
0.821682209933401,0.8744471645372549,0.060207854019190266,0.4736629093123885,0.7319572132287965,1,1,1,1,1,1,0
0.8474145628487187,0.9055463638471631,0.9876632761431626,0.33833601611521524,0.058093798048704626,0,0,0,0,1,1,1
0.6160012143311737,0.992769652946933,0.7836928429467521,0.5144210975044412,0.7941924241007542,0,0,1,1,1,1,1
0.0228624767054475,0.7303091172372858,0.2746086259362681,0.6097136676005975,0.8879004282598567,1,1,1,1,1,0,0
0.4757284989478514,0.6951225991778023,0.27987678089070367,0.9292997311691916,0.9577554804137035,0,0,0,0,0,0,0
0.1096953463717798,0.9620779974337338,0.5342806204507126,0.527060709351982,0.14329859403567757,1,1,1,1,1,1,1
0.04986435628280905,0.44495741119883503,0.2827463810552596,0.4499648406272183,0.5157752125480861,1,1,1,1,0,0,0
0.6502569914712266,0.6265472499861282,0.01358593877693004,0.8868899337342637,0.4436542696266911,0,0,0,0,0,0,0
0.48525274013012,0.43104898566315863,0.3891983796710242,0.9193721680612416,0.6785093533782657,0,0,0,0,0,0,0
0.07014728016293936,0.2624147431495406,0.3480465249061846,0.8605814456125519,0.5663779293381916,0,0,0,0,0,1,1
0.2576725697499854,0.47744811477326965,0.3078581978620123,0.9594521118321511,0.6942594228175868,0,0,0,0,1,1,1
0.2570582296622941,0.7689225391537958,0.1333476082427203,0.09476648416362232,0.0898399558046713,1,1,1,1,1,1,1
0.3434861021985264,0.0014090100079779955,0.17651960282522317,0.02244701533772908,0.06212649577223739,1,1,1,1,1,1,1
0.6956193618432401,0.6959537212615601,0.8787485200639154,0.0997664011153675,0.27757553978466176,1,1,1,1,1,1,1
0.5662905583656924,0.4981602683491029,0.6799491356895593,0.15940154787336736,0.7024996084988777,0,0,1,1,1,1,1
0.25037903304592457,0.4954894918358579,0.021648455298613034,0.45747012861004377,0.5135123732931566,1,1,1,1,1,1,1
0.3165809868809848,0.9819484406714117,0.004389320512727557,0.7630779709198834,0.9549076222786334,0,0,0,0,0,1,1
0.5314477483482364,0.7343230331206821,0.2324033124565652,0.6284252556777067,0.2176146184399428,0,0,1,1,1,1,1
0.8802867012051084,0.942914314337344,0.4841097705202445,0.2891876968362963,0.27247293002547657,1,1,1,1,1,1,0
0.6299002178090041,0.13811065375358722,0.825779775628533,0.5832638103362126,0.4060634593922825,0,0,1,1,1,1,1
0.3432842937521414,0.032490578741568465,0.08708975709413336,0.1819447096793274,0.9042093992111097,1,1,1,1,1,1,1
0.7223222066221463,0.5160640064256257,0.32853766796812545,0.20265878268781756,0.5027736765046953,1,1,1,1,1,1,0
0.4212387463293785,0.47008625296723183,0.8434137154065332,0.83215232132446,0.33335831503690183,1,1,1,1,1,1,1
0.29115167922444474,0.36374688789480625,0.9470032045205939,0.6749057207445965,0.2418248067974489,1,1,1,1,1,1,1
0.6753606364829088,0.41858000320359867,0.4449309334288618,0.41431452630594323,0.9059952423643033,1,1,0,0,0,0,0
0.02546914672783085,0.7993160654587369,0.621170424673046,0.5595116303144468,0.7464542188277022,1,1,1,1,1,0,0
0.3246852890214432,0.6245332539043338,0.32189070669517683,0.6228749312695256,0.4807349045210243,1,1,1,1,1,1,1
0.5874527159306528,0.589987420319164,0.4129945629766226,0.10522571441802109,0.41711559094690553,1,1,1,1,1,1,1
0.07175412318054586,0.4551285524623707,0.07169718539033532,0.7074793113023415,0.16193295877394231,0,0,0,0,0,0,0
0.289555543091767,0.2335469648283549,0.28971911873471257,0.15357830807943296,0.41073352035902233,1,1,1,1,1,0,0
0.5430577701995404,0.00793797225572157,0.9741977239056522,0.1166990925043665,0.4196767485587535,1,1,1,1,1,1,0
0.9480068095413297,0.3418039628202053,0.385277426047961,0.9873764811866441,0.20096739726598367,1,1,1,1,1,1,1
0.5716423290853283,0.49042951222471487,0.16452912644678408,0.1600421856924159,0.11019021347489621,1,1,0,0,0,0,0
0.9234241385385225,0.12996882199168502,0.42873671144413217,0.28455628469705974,0.2859402159489356,1,1,1,1,0,0,0
0.9380137219503794,0.1684091277943608,0.2438913045896286,0.9975280027422108,0.1450736005203963,1,1,1,1,1,1,1
0.01426171085185235,0.5954590384678312,0.823090473148412,0.7980681710698276,0.7710905703282019,1,1,1,1,1,1,0
0.9188929889933684,0.5822947839570323,0.7547185215301335,0.8872178183669965,0.5448509691200094,1,1,0,0,0,0,0
0.15125143742585456,0.2565280616289596,0.7824260453932287,0.730119109105004,0.4753308582420406,1,1,0,0,0,0,0
0.6765047052834939,0.015685485579527314,0.44726664586316955,0.854957153967421,0.2805721434032198,1,1,1,1,0,0,0
0.008898500574137658,0.8223853826558719,0.5887863293217833,0.9683276927226538,0.6410036560150002,1,1,1,1,1,1,1
0.1314781747066467,0.4334198469460485,0.7710888161067655,0.32534793720021316,0.8435883114178813,0,0,0,0,0,0,0
0.014934249498153362,0.6506656023933648,0.18411946452212558,0.3490917275344946,0.8532040136444345,1,1,1,1,0,0,0
0.3167924000163562,0.5401287810783999,0.5900238016413976,0.7663210030943133,0.45242048457379125,0,1,1,1,1,1,1
0.02849170555188607,0.4861441534394192,0.7353753599638937,0.3206387028748371,0.8835032077179079,0,0,0,0,0,0,0
0.5915133357000395,0.2702133965459722,0.60930984355784,0.21633935011864602,0.8237151403513585,0,0,0,0,0,0,0
0.5219970701545191,0.3299132178601104,0.8737092172166406,0.023800742982963974,0.3364385818412702,1,1,1,1,1,1,0
0.4063794418603457,0.8825832659549595,0.36492582419408215,0.8878849256219075,0.9169869084844394,0,0,0,0,0,0,0
0.017198068067536654,0.1103124361433312,0.27013891146680047,0.29973866967394525,0.651391030061645,1,1,1,1,1,1,1
0.9627719260553091,0.875740878844032,0.23355583826451176,0.2755859285849631,0.269388166982499,1,1,1,1,1,1,1
