feature_0,feature_1,target_gold,taget_noisy_0.0,taget_noisy_0.1,taget_noisy_0.2,taget_noisy_0.3,taget_noisy_0.4,taget_noisy_0.5
0.45251519933072726,0.0446612844015728,1,1,1,1,1,1,1
0.8832610345684845,0.9526797343164078,1,1,1,1,0,0,0
0.5051078840651106,0.7094340542753781,0,1,1,1,1,1,1
0.03817632018144734,0.21631155233472632,0,0,0,0,0,0,0
0.6253727658201144,0.3643240953658531,0,0,0,0,0,0,0
0.8306202300949822,0.9233707946233206,1,1,1,1,0,0,0
0.007144362442176866,0.12130084268656238,0,0,0,0,0,0,0
0.8060947290352394,0.05055838978013283,1,1,1,1,1,1,1
0.8650273293451374,0.3601671532444657,0,0,0,0,0,1,1
0.42115549182876655,0.03457605325286939,1,1,1,1,1,1,1
0.43004577830897006,0.0460008859571841,1,1,1,1,1,1,1
0.5688523032638658,0.6361314211851613,0,0,1,1,1,1,1
0.50083061889914,0.04375628989358993,1,1,1,1,1,1,1
0.013463484549374627,0.860407602456503,1,1,1,1,1,0,0
0.8425580751867148,0.8962727143663958,1,1,1,1,0,0,0
0.3757153121518535,0.9363836564915643,1,0,0,0,0,0,0
0.002843869033832158,0.5285932184727066,0,0,0,0,0,0,1
0.15962155437132763,0.5703922255706249,1,1,1,1,1,1,1
0.34513799070580065,0.45899275631865843,1,1,1,1,1,1,0
0.9509638990398039,0.7751765102977677,1,1,1,0,0,0,0
0.6293046553328839,0.1724627192150775,0,0,0,1,1,1,1
0.843307324034853,0.7432471686171643,1,1,1,0,0,0,0
0.15438020946634912,0.9663734756508139,0,0,0,0,0,0,0
0.186243479719581,0.7168384995559567,1,1,1,1,1,1,1
0.8415265077243832,0.9295355765853249,1,1,1,1,0,0,0
0.8277205957386868,0.5980430108674102,0,0,0,0,0,0,0
0.046466638532097315,0.5530510019839099,0,0,0,0,0,1,1
0.1166731524410135,0.1126501298381214,0,0,0,0,0,0,0
0.8324035995286954,0.7713662111650983,1,1,1,0,0,0,0
0.4383501284190221,0.1314436719254971,1,1,1,1,1,1,1
0.6581238808550111,0.6760974950968371,1,1,1,1,1,1,1
0.6283174264074894,0.9090207959253938,1,1,1,1,1,0,0
0.8949663989069915,0.16706230023061153,1,1,1,1,1,1,1
0.6749713578468328,0.17181078885650292,0,0,0,0,1,1,1
0.7875003811024258,0.3250336413704662,0,0,0,0,0,0,0
0.74233863844168,0.9697550176699444,1,1,1,1,0,0,0
0.1800221863746191,0.19010486264050452,1,1,0,0,0,0,0
0.27733951593430517,0.6933612925002794,1,1,1,1,1,1,1
0.9724420875094788,0.7936426715576429,1,1,1,0,0,0,0
0.8669523201845083,0.04922390911243901,1,1,1,1,1,1,1
0.606254071842342,0.8119255117856518,1,1,1,1,1,0,0
0.2474078737207659,0.8704331195482072,1,1,1,1,1,0,0
0.7906084141999267,0.815571006238921,1,1,1,0,0,0,0
0.021076136953837032,0.6847823753125865,0,0,0,0,1,1,1
0.20374154404461975,0.34298342569655726,1,1,0,0,0,0,0
0.4603782384704459,0.8886274487980828,1,1,1,0,0,0,0
0.4161672766859441,0.2633630630633301,1,1,1,1,1,1,1
0.7330784124193234,0.7971103217797578,1,1,1,1,0,0,0
0.6896587805829717,0.6579176250848104,1,1,1,1,1,1,1
0.05531934828180474,0.8811947379660765,1,1,1,1,1,1,0
0.0850174872608892,0.7767815480955308,1,1,1,1,1,1,1
0.643420359605069,0.7901934437400294,1,1,1,1,1,0,0
0.731263300308311,0.24136307389071232,0,0,0,0,0,0,0
0.9431419954134453,0.52502984241008,0,0,0,0,0,0,1
0.11454620583120811,0.6420333220596083,1,1,1,1,1,1,1
0.8047634061537143,0.8688030574811254,1,1,1,0,0,0,0
0.5518817459191634,0.6114146319722429,0,1,1,1,1,1,1
0.6510492371260552,0.49206312800507934,1,1,0,0,0,0,0
0.6458179982166875,0.3439140800523326,0,0,0,0,0,0,0
0.9125814625284516,0.6711319253073288,1,1,0,0,0,0,0
0.41471593311816013,0.640388801763405,1,1,1,1,1,1,1
0.6363315403054666,0.8276120762238413,1,1,1,1,1,0,0
0.5647891975875629,0.8794238083329856,1,1,1,1,1,0,0
0.6520674178667922,0.3208299275963241,0,0,0,0,0,0,0
0.4454793429339369,0.14364770325845488,1,1,1,1,1,1,1
0.8427870118630472,0.06435364386082498,1,1,1,1,1,1,1
0.2943170630897721,0.23714358951523273,1,1,1,1,1,1,1
0.6659519747813956,0.5175802704381539,1,1,0,0,0,0,0
0.2798528080237803,0.8099784596751339,1,1,1,1,1,1,1
0.6977114001340919,0.517029021472889,1,0,0,0,0,0,0
0.3855634993802517,0.12857752835829395,1,1,1,1,1,1,1
0.9183062953369082,0.921393486720016,1,1,1,1,0,0,0
0.545334355572234,0.610389792218168,1,1,1,1,1,1,1
0.5078885084757206,0.22321592546904234,1,1,1,1,1,1,1
0.18175285913675343,0.7433673867795243,1,1,1,1,1,1,1
0.7978698827542685,0.9666927289915274,1,1,1,1,0,0,0
0.8976120705901061,0.7918946878014117,1,1,1,0,0,0,0
0.24792430222740303,0.6450451105483194,1,1,1,1,1,1,1
0.671989006155423,0.6522886594829014,1,1,1,1,1,1,1
0.8373923907870525,0.45997178949943407,0,0,0,0,0,0,0
0.6077925466767301,0.6021453650604633,0,1,1,1,1,1,1
0.756757671909907,0.6950476667806641,1,1,1,1,0,0,0
0.33645063554089505,0.7216579704654079,1,1,1,1,1,1,1
0.34464723246605933,0.9272056893974622,0,0,0,0,0,0,0
0.5197809832739181,0.5975622099184126,1,1,1,1,1,1,1
0.9954680980436491,0.178886558424862,1,1,1,1,1,1,1
0.810637288720002,0.8048015378040041,1,1,1,0,0,0,0
0.40294262220432775,0.7769403380838805,0,0,1,1,1,1,1
