feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target_gold,taget_noisy_0.0,taget_noisy_0.1,taget_noisy_0.2,taget_noisy_0.3,taget_noisy_0.4,taget_noisy_0.5
0.9504474680560131,0.5094001939202685,0.8247882433771351,0.8940959568679546,0.4833809885637663,0.6915173845137738,0.5124731904730444,0.9095027653665264,0.38370501249979894,0.5262109936226271,0,0,0,0,1,1,1
0.1926620148343401,0.31847794562349896,0.5804062745772391,0.268636006044336,0.44038028291826936,0.400015420304504,0.4847054251183823,0.16053850634037636,0.8029761384924617,0.2958272321059534,0,0,0,0,0,0,0
0.5182851295170712,0.7417802808412056,0.15468079742166985,0.3056566959227871,0.13130891761997765,0.2925998517405124,0.9222481855928901,0.49223591594848515,0.14058699949583298,0.40914559531996575,0,0,0,0,0,0,0
0.16830597335158892,0.9893095369006647,0.46453043023540397,0.8035097161600514,0.10690986569635708,0.9524935790106069,0.8137271373104187,0.3569295241987076,0.25189012892095364,0.5845888776007476,0,0,0,0,0,1,1
0.04180938215773167,0.004334890418311699,0.8225795023733584,0.7245613009785271,0.842626115497163,0.22799934425321633,0.02020475269985822,0.2574115394955181,0.2965585606225012,0.1148247220788079,1,1,1,1,0,0,0
0.2770325413039586,0.9812463475243064,0.935496302995467,0.9629089529149434,0.057425592543045134,0.26909614683366234,0.7327976160433888,0.8368013790214437,0.274884658051171,0.23006018336385603,0,0,0,0,0,0,0
0.7433982116502743,0.48869820239705974,0.3260014052636657,0.7758130123879838,0.5015261289146586,0.05271683486320933,0.5544698133594173,0.8301466407164656,0.10718922704285871,0.033104515275912294,1,1,0,0,0,0,0
0.3581957784062444,0.9489713323694057,0.042616877434040745,0.4750371707377613,0.6894143638245521,0.03221622706725402,0.824063888954118,0.8004337739141191,0.38694046018617345,0.8787436177132216,0,0,0,0,0,0,0
0.022493323565605072,0.31092006146423756,0.8641817611539137,0.40183933196694754,0.9011059887030844,0.7686863178438476,0.9448923575505551,0.3160977337554933,0.13605059960537236,0.4018052005838689,0,0,0,1,1,1,1
0.729641795519015,0.6539594562499547,0.6122280086242102,0.6024177034550632,0.7523075619717731,0.6828932583769936,0.9148826513742536,0.13917669211291706,0.734145180367023,0.845229504778327,0,0,0,0,0,0,0
0.33433521553532464,0.36289574354977405,0.9464741292866401,0.1707100768398372,0.05261793156726158,0.7391030747180943,0.9054431348303504,0.43090418729393987,0.9982945623693216,0.8545194921691622,1,1,1,1,1,0,0
0.3692148912316433,0.010050260103619757,0.5551172757446626,0.9989195914630048,0.9312268457784907,0.09497869315749485,0.938722834617457,0.3528524335138218,0.9095388657544061,0.4254093615975514,0,0,1,1,1,1,1
0.45183558344115826,0.4660264962121782,0.3036794054017985,0.5502198119129095,0.40068681010653184,0.16991912138869059,0.9538579653506893,0.4551213299617469,0.27517427104479797,0.5281532011926449,0,0,0,0,0,0,0
