feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target_gold,taget_noisy_0.0,taget_noisy_0.1,taget_noisy_0.2,taget_noisy_0.3,taget_noisy_0.4,taget_noisy_0.5
0.547534900815542,0.9949506302624982,0.6642322686190627,0.23854671532269212,0.1997457228130025,0.8453571075148166,0.1230733422900302,0.560848497325935,0.987428126206061,0.8994953151578238,1,1,1,1,0,0,0
0.25916963652057834,0.30235795687056344,0.7526474194079601,0.11169036718362302,0.2137333753145556,0.9207286774157863,0.9690022215118872,0.012313271337829779,0.2620500200045044,0.024876785884695884,1,1,1,1,1,1,1
0.054959032677375896,0.7382300791762543,0.05470466752906189,0.4598669987405438,0.6786553613642264,0.9810041794160849,0.9173521720605649,0.30661162047307844,0.42166979589338116,0.7263426957176026,1,1,1,1,1,1,1
0.19242703280402895,0.6555564767420362,0.7759084344160115,0.01935290318398164,0.334380009364624,0.38106233444549,0.16902387679331976,0.972430019348493,0.037635973235257913,0.882923196113141,1,1,1,1,1,1,1
0.7638973965127044,0.3078651563535669,0.9601135938459895,0.36418846319108245,0.6651779637799263,0.005039329909030998,0.16513926020377157,0.898649175693536,0.7943949615628896,0.39562086463540624,1,1,1,1,1,1,1
0.8904648258948018,0.9792467523589118,0.2672699911890285,0.16353157591621836,0.8012959284334783,0.5858071625444609,0.7972138318418671,0.08848809796910839,0.8946468849669091,0.19690175899313223,1,1,0,0,0,0,0
0.9683335825891758,0.08583556755518607,0.7477476364797333,0.6054000393660498,0.7317596980968688,0.3027823494605968,0.4918962954833995,0.37030386651252334,0.9262271895798107,0.3211120574792764,1,1,1,1,0,0,0
0.7511414276755691,0.6683293624761066,0.4831869567120234,0.36206349507554847,0.8196745889514101,0.42624347310552646,0.4441917267998179,0.6905765053433345,0.7669734370347422,0.3042191380917323,1,1,1,1,1,1,1
0.6144589533544401,0.4527573109818742,0.8247013460098639,0.16158447466192338,0.9511387837074715,0.349636121230987,0.3483654597543767,0.7508522897613045,0.0550918070479115,0.01692270703476495,1,1,1,1,1,1,1
0.08526612677717083,0.8865539418973921,0.4580438511853434,0.3896585067848731,0.8841971060732383,0.9402150004384405,0.37905002683220446,0.587078715768427,0.7582075447859917,0.47102276984125835,1,1,1,1,1,1,1
0.9613851777105326,0.7350251609505741,0.9352067022855381,0.025602193060274114,0.9324924293232578,0.3842055541304139,0.028335662565418973,0.20638745049236573,0.3681932741840278,0.9282669819940046,1,1,0,0,0,0,0
0.5295924529101032,0.11175794457372157,0.689348945874738,0.7599151961787936,0.01702319396217311,0.24798566218542983,0.6298196186172755,0.17006521385942852,0.6760824972482536,0.8149624337305036,1,1,1,1,1,1,1
0.7009989424457461,0.9664783490466935,0.8854413556493672,0.8988792011195452,0.9431512726775834,0.7573878173113686,0.14895712349317636,0.44304178141608874,0.2109695279037591,0.8078930179271306,1,1,1,1,1,1,1
0.603544832164106,0.49704124150144546,0.014186708161156192,0.04651184122591112,0.38175656621664233,0.58137120147213,0.8022842815659595,0.5766637861459443,0.6423272861480246,0.39585696889157196,1,1,1,1,1,1,1
0.3607042688991,0.09846249048071898,0.9234547878609101,0.3305448603207609,0.6328067887746288,0.1644066733439069,0.1931421480362845,0.631924303084073,0.3883979774490396,0.6115892939558868,1,1,1,1,1,1,1
0.5624253748208504,0.9607789600136505,0.36522924470412554,0.47088543808643823,0.956635017765865,0.12892036872485613,0.9542569831298131,0.25345097700065944,0.6899026781294654,0.831760995828579,1,1,1,0,0,0,0
0.42772530660370334,0.7135179549154297,0.5229081987108579,0.6815695335613804,0.17888900026750287,0.13627239719420736,0.6000972693665952,0.4511024756580031,0.030480044786290184,0.45112491808649857,1,1,1,1,1,1,1
0.5908631780865858,0.8423841471525945,0.8675670889517052,0.6996654455123252,0.9429659924583593,0.5917205206492907,0.07776744390307277,0.05875880786485077,0.5226234324865797,0.5447573814699157,1,1,1,1,1,1,1
0.9330318639663461,0.08645639164440233,0.6151417849083385,0.3758916835125522,0.9760511050041143,0.8721859867106534,0.7280335804887879,0.2828828218556976,0.03863110821389226,0.41602738556562757,1,1,1,1,1,1,1
0.16703547525791185,0.9967272657901639,0.7058856041664333,0.8897646812035654,0.09655063854829882,0.4602471790867403,0.7487840140513832,0.460052454013014,0.010559562610557904,0.3044915193416673,1,1,1,0,0,0,0
